source,date,value
GCAG,1880-01-15,-0.06
GISTEMP,1880-01-15,-0.18
GCAG,1880-02-15,-0.14
GISTEMP,1880-02-15,-0.24
GCAG,1880-03-15,-0.09
GISTEMP,1880-03-15,-0.09
GISTEMP,1880-04-15,-0.16
GCAG,1880-04-15,-0.05
GISTEMP,1880-05-15,-0.1
GCAG,1880-05-15,-0.09
GISTEMP,1880-06-15,-.21
GCAG,1880-06-15,-0.13
GISTEMP,1880-07-15,-.18
GCAG,1880-07-15,-0.13
GISTEMP,1880-08-15,-.10
GCAG,1880-08-15,-0.07
GCAG,1880-09-15,-0.11
GISTEMP,1880-09-15,-.14
GISTEMP,1880-10-15,-.24
GCAG,1880-10-15,-0.24
GCAG,1880-11-15,-0.24
GISTEMP,1880-11-15,-.22
GCAG,1880-12-15,-0.1
GISTEMP,1880-12-15,-.18
GISTEMP,1881-01-15,-0.2
GCAG,1881-01-15,-0.09
GCAG,1881-02-15,-0.06
GISTEMP,1881-02-15,-0.14
GISTEMP,1881-03-15,0.03
GCAG,1881-03-15,0.05
GISTEMP,1881-04-15,0.05
GCAG,1881-04-15,0.07
GISTEMP,1881-05-15,0.06
GCAG,1881-05-15,0.03
GCAG,1881-06-15,-0.12
GISTEMP,1881-06-15,-.19
GISTEMP,1881-07-15,.00
GCAG,1881-07-15,-0.06
GCAG,1881-08-15,-0.06
GISTEMP,1881-08-15,-.03
GCAG,1881-09-15,-0.16
GISTEMP,1881-09-15,-.15
GISTEMP,1881-10-15,-.22
GCAG,1881-10-15,-0.29
GISTEMP,1881-11-15,-.18
GCAG,1881-11-15,-0.26
GISTEMP,1881-12-15,-.07
GCAG,1881-12-15,-0.03
GISTEMP,1882-01-15,0.16
GCAG,1882-01-15,0.09
GISTEMP,1882-02-15,0.14
GCAG,1882-02-15,0.02
GISTEMP,1882-03-15,0.04
GCAG,1882-03-15,-0.01
GISTEMP,1882-04-15,-0.16
GCAG,1882-04-15,-0.15
GCAG,1882-05-15,-0.14
GISTEMP,1882-05-15,-0.14
GCAG,1882-06-15,-0.14
GISTEMP,1882-06-15,-.22
GCAG,1882-07-15,-0.12
GISTEMP,1882-07-15,-.16
GISTEMP,1882-08-15,-.08
GCAG,1882-08-15,-0.08
GCAG,1882-09-15,-0.1
GISTEMP,1882-09-15,-.15
GCAG,1882-10-15,-0.23
GISTEMP,1882-10-15,-.23
GISTEMP,1882-11-15,-.17
GCAG,1882-11-15,-0.15
GCAG,1882-12-15,-0.16
GISTEMP,1882-12-15,-.36
GISTEMP,1883-01-15,-0.29
GCAG,1883-01-15,-0.28
GCAG,1883-02-15,-0.35
GISTEMP,1883-02-15,-0.37
GCAG,1883-03-15,-0.18
GISTEMP,1883-03-15,-0.12
GISTEMP,1883-04-15,-0.19
GCAG,1883-04-15,-0.2
GCAG,1883-05-15,-0.16
GISTEMP,1883-05-15,-0.18
GCAG,1883-06-15,0.0
GISTEMP,1883-06-15,-.07
GCAG,1883-07-15,-0.1
GISTEMP,1883-07-15,-.07
GCAG,1883-08-15,-0.11
GISTEMP,1883-08-15,-.14
GISTEMP,1883-09-15,-.22
GCAG,1883-09-15,-0.18
GCAG,1883-10-15,-0.22
GISTEMP,1883-10-15,-.11
GCAG,1883-11-15,-0.24
GISTEMP,1883-11-15,-.24
GCAG,1883-12-15,-0.14
GISTEMP,1883-12-15,-.11
GCAG,1884-01-15,-0.23
GISTEMP,1884-01-15,-0.13
GISTEMP,1884-02-15,-0.08
GCAG,1884-02-15,-0.18
GISTEMP,1884-03-15,-0.36
GCAG,1884-03-15,-0.28
GISTEMP,1884-04-15,-0.4
GCAG,1884-04-15,-0.28
GISTEMP,1884-05-15,-0.33
GCAG,1884-05-15,-0.22
GCAG,1884-06-15,-0.26
GISTEMP,1884-06-15,-.35
GCAG,1884-07-15,-0.32
GISTEMP,1884-07-15,-.33
GISTEMP,1884-08-15,-.28
GCAG,1884-08-15,-0.28
GISTEMP,1884-09-15,-.27
GCAG,1884-09-15,-0.28
GCAG,1884-10-15,-0.27
GISTEMP,1884-10-15,-.25
GCAG,1884-11-15,-0.34
GISTEMP,1884-11-15,-.33
GISTEMP,1884-12-15,-.31
GCAG,1884-12-15,-0.24
GCAG,1885-01-15,-0.45
GISTEMP,1885-01-15,-0.58
GCAG,1885-02-15,-0.29
GISTEMP,1885-02-15,-0.33
GCAG,1885-03-15,-0.25
GISTEMP,1885-03-15,-0.26
GISTEMP,1885-04-15,-0.42
GCAG,1885-04-15,-0.28
GISTEMP,1885-05-15,-0.45
GCAG,1885-05-15,-0.31
GCAG,1885-06-15,-0.31
GISTEMP,1885-06-15,-.43
GCAG,1885-07-15,-0.25
GISTEMP,1885-07-15,-.33
GISTEMP,1885-08-15,-.31
GCAG,1885-08-15,-0.29
GCAG,1885-09-15,-0.26
GISTEMP,1885-09-15,-.29
GCAG,1885-10-15,-0.2
GISTEMP,1885-10-15,-.23
GISTEMP,1885-11-15,-.24
GCAG,1885-11-15,-0.14
GCAG,1885-12-15,0.01
GISTEMP,1885-12-15,-.10
GISTEMP,1886-01-15,-0.44
GCAG,1886-01-15,-0.18
GCAG,1886-02-15,-0.32
GISTEMP,1886-02-15,-0.51
GCAG,1886-03-15,-0.29
GISTEMP,1886-03-15,-0.43
GISTEMP,1886-04-15,-0.28
GCAG,1886-04-15,-0.19
GISTEMP,1886-05-15,-0.24
GCAG,1886-05-15,-0.18
GCAG,1886-06-15,-0.25
GISTEMP,1886-06-15,-.35
GCAG,1886-07-15,-0.2
GISTEMP,1886-07-15,-.18
GCAG,1886-08-15,-0.27
GISTEMP,1886-08-15,-.31
GCAG,1886-09-15,-0.27
GISTEMP,1886-09-15,-.24
GCAG,1886-10-15,-0.32
GISTEMP,1886-10-15,-.28
GCAG,1886-11-15,-0.28
GISTEMP,1886-11-15,-.27
GISTEMP,1886-12-15,-.25
GCAG,1886-12-15,-0.17
GISTEMP,1887-01-15,-0.72
GCAG,1887-01-15,-0.52
GCAG,1887-02-15,-0.46
GISTEMP,1887-02-15,-0.57
GCAG,1887-03-15,-0.22
GISTEMP,1887-03-15,-0.35
GCAG,1887-04-15,-0.26
GISTEMP,1887-04-15,-0.35
GCAG,1887-05-15,-0.26
GISTEMP,1887-05-15,-0.3
GCAG,1887-06-15,-0.25
GISTEMP,1887-06-15,-.25
GCAG,1887-07-15,-0.24
GISTEMP,1887-07-15,-.26
GISTEMP,1887-08-15,-.35
GCAG,1887-08-15,-0.32
GCAG,1887-09-15,-0.23
GISTEMP,1887-09-15,-.26
GISTEMP,1887-10-15,-.35
GCAG,1887-10-15,-0.33
GISTEMP,1887-11-15,-.26
GCAG,1887-11-15,-0.19
GCAG,1887-12-15,-0.17
GISTEMP,1887-12-15,-.33
GISTEMP,1888-01-15,-0.34
GCAG,1888-01-15,-0.33
GCAG,1888-02-15,-0.28
GISTEMP,1888-02-15,-0.36
GISTEMP,1888-03-15,-0.41
GCAG,1888-03-15,-0.29
GCAG,1888-04-15,-0.12
GISTEMP,1888-04-15,-0.2
GISTEMP,1888-05-15,-0.22
GCAG,1888-05-15,-0.15
GCAG,1888-06-15,-0.12
GISTEMP,1888-06-15,-.17
GISTEMP,1888-07-15,-.10
GCAG,1888-07-15,-0.11
GISTEMP,1888-08-15,-.16
GCAG,1888-08-15,-0.17
GISTEMP,1888-09-15,-.12
GCAG,1888-09-15,-0.1
GCAG,1888-10-15,0.03
GISTEMP,1888-10-15,.02
GISTEMP,1888-11-15,.03
GCAG,1888-11-15,-0.04
GCAG,1888-12-15,0.07
GISTEMP,1888-12-15,-.04
GCAG,1889-01-15,-0.02
GISTEMP,1889-01-15,-0.09
GCAG,1889-02-15,0.04
GISTEMP,1889-02-15,0.17
GCAG,1889-03-15,0.14
GISTEMP,1889-03-15,0.06
GCAG,1889-04-15,0.09
GISTEMP,1889-04-15,0.1
GISTEMP,1889-05-15,-0.01
GCAG,1889-05-15,-0.02
GISTEMP,1889-06-15,-.10
GCAG,1889-06-15,-0.08
GISTEMP,1889-07-15,-.08
GCAG,1889-07-15,-0.12
GISTEMP,1889-08-15,-.20
GCAG,1889-08-15,-0.15
GCAG,1889-09-15,-0.23
GISTEMP,1889-09-15,-.24
GCAG,1889-10-15,-0.24
GISTEMP,1889-10-15,-.25
GCAG,1889-11-15,-0.28
GISTEMP,1889-11-15,-.33
GISTEMP,1889-12-15,-.29
GCAG,1889-12-15,-0.14
GCAG,1890-01-15,-0.33
GISTEMP,1890-01-15,-0.42
GCAG,1890-02-15,-0.33
GISTEMP,1890-02-15,-0.44
GCAG,1890-03-15,-0.32
GISTEMP,1890-03-15,-0.4
GCAG,1890-04-15,-0.28
GISTEMP,1890-04-15,-0.3
GCAG,1890-05-15,-0.39
GISTEMP,1890-05-15,-0.39
GCAG,1890-06-15,-0.3
GISTEMP,1890-06-15,-.24
GCAG,1890-07-15,-0.27
GISTEMP,1890-07-15,-.28
GISTEMP,1890-08-15,-.39
GCAG,1890-08-15,-0.39
GISTEMP,1890-09-15,-.36
GCAG,1890-09-15,-0.42
GCAG,1890-10-15,-0.35
GISTEMP,1890-10-15,-.25
GCAG,1890-11-15,-0.44
GISTEMP,1890-11-15,-.43
GISTEMP,1890-12-15,-.31
GCAG,1890-12-15,-0.28
GCAG,1891-01-15,-0.38
GISTEMP,1891-01-15,-0.33
GCAG,1891-02-15,-0.54
GISTEMP,1891-02-15,-0.47
GCAG,1891-03-15,-0.24
GISTEMP,1891-03-15,-0.18
GISTEMP,1891-04-15,-0.27
GCAG,1891-04-15,-0.25
GISTEMP,1891-05-15,-0.16
GCAG,1891-05-15,-0.17
GCAG,1891-06-15,-0.19
GISTEMP,1891-06-15,-.21
GCAG,1891-07-15,-0.19
GISTEMP,1891-07-15,-.17
GISTEMP,1891-08-15,-.17
GCAG,1891-08-15,-0.21
GCAG,1891-09-15,-0.15
GISTEMP,1891-09-15,-.15
GCAG,1891-10-15,-0.29
GISTEMP,1891-10-15,-.21
GISTEMP,1891-11-15,-.31
GCAG,1891-11-15,-0.4
GCAG,1891-12-15,-0.06
GISTEMP,1891-12-15,-.04
GISTEMP,1892-01-15,-0.28
GCAG,1892-01-15,-0.23
GCAG,1892-02-15,-0.12
GISTEMP,1892-02-15,-0.11
GCAG,1892-03-15,-0.25
GISTEMP,1892-03-15,-0.4
GISTEMP,1892-04-15,-0.33
GCAG,1892-04-15,-0.33
GISTEMP,1892-05-15,-0.23
GCAG,1892-05-15,-0.27
GCAG,1892-06-15,-0.3
GISTEMP,1892-06-15,-.22
GCAG,1892-07-15,-0.39
GISTEMP,1892-07-15,-.31
GCAG,1892-08-15,-0.34
GISTEMP,1892-08-15,-.27
GCAG,1892-09-15,-0.22
GISTEMP,1892-09-15,-.16
GCAG,1892-10-15,-0.28
GISTEMP,1892-10-15,-.14
GCAG,1892-11-15,-0.48
GISTEMP,1892-11-15,-.42
GISTEMP,1892-12-15,-.38
GCAG,1892-12-15,-0.45
GISTEMP,1893-01-15,-0.81
GCAG,1893-01-15,-0.71
GCAG,1893-02-15,-0.61
GISTEMP,1893-02-15,-0.56
GCAG,1893-03-15,-0.23
GISTEMP,1893-03-15,-0.22
GISTEMP,1893-04-15,-0.27
GCAG,1893-04-15,-0.35
GISTEMP,1893-05-15,-0.33
GCAG,1893-05-15,-0.33
GISTEMP,1893-06-15,-.25
GCAG,1893-06-15,-0.27
GCAG,1893-07-15,-0.21
GISTEMP,1893-07-15,-.14
GCAG,1893-08-15,-0.31
GISTEMP,1893-08-15,-.24
GCAG,1893-09-15,-0.23
GISTEMP,1893-09-15,-.22
GCAG,1893-10-15,-0.25
GISTEMP,1893-10-15,-.19
GISTEMP,1893-11-15,-.19
GCAG,1893-11-15,-0.19
GCAG,1893-12-15,-0.26
GISTEMP,1893-12-15,-.34
GCAG,1894-01-15,-0.42
GISTEMP,1894-01-15,-0.53
GISTEMP,1894-02-15,-0.31
GCAG,1894-02-15,-0.24
GISTEMP,1894-03-15,-0.23
GCAG,1894-03-15,-0.28
GCAG,1894-04-15,-0.4
GISTEMP,1894-04-15,-0.45
GCAG,1894-05-15,-0.35
GISTEMP,1894-05-15,-0.32
GCAG,1894-06-15,-0.38
GISTEMP,1894-06-15,-.41
GISTEMP,1894-07-15,-.25
GCAG,1894-07-15,-0.3
GISTEMP,1894-08-15,-.25
GCAG,1894-08-15,-0.31
GISTEMP,1894-09-15,-.29
GCAG,1894-09-15,-0.27
GCAG,1894-10-15,-0.3
GISTEMP,1894-10-15,-.24
GISTEMP,1894-11-15,-.27
GCAG,1894-11-15,-0.35
GISTEMP,1894-12-15,-.22
GCAG,1894-12-15,-0.26
GISTEMP,1895-01-15,-0.42
GCAG,1895-01-15,-0.43
GCAG,1895-02-15,-0.4
GISTEMP,1895-02-15,-0.43
GISTEMP,1895-03-15,-0.34
GCAG,1895-03-15,-0.33
GISTEMP,1895-04-15,-0.22
GCAG,1895-04-15,-0.2
GISTEMP,1895-05-15,-0.28
GCAG,1895-05-15,-0.28
GCAG,1895-06-15,-0.29
GISTEMP,1895-06-15,-.21
GCAG,1895-07-15,-0.22
GISTEMP,1895-07-15,-.18
GISTEMP,1895-08-15,-.18
GCAG,1895-08-15,-0.25
GISTEMP,1895-09-15,-.12
GCAG,1895-09-15,-0.18
GISTEMP,1895-10-15,-.11
GCAG,1895-10-15,-0.12
GCAG,1895-11-15,-0.18
GISTEMP,1895-11-15,-.17
GCAG,1895-12-15,-0.12
GISTEMP,1895-12-15,-.14
GISTEMP,1896-01-15,-0.21
GCAG,1896-01-15,-0.15
GISTEMP,1896-02-15,-0.12
GCAG,1896-02-15,-0.11
GISTEMP,1896-03-15,-0.26
GCAG,1896-03-15,-0.22
GISTEMP,1896-04-15,-0.3
GCAG,1896-04-15,-0.24
GISTEMP,1896-05-15,-0.15
GCAG,1896-05-15,-0.13
GISTEMP,1896-06-15,-.11
GCAG,1896-06-15,-0.09
GISTEMP,1896-07-15,-.02
GCAG,1896-07-15,-0.04
GISTEMP,1896-08-15,-.05
GCAG,1896-08-15,-0.04
GISTEMP,1896-09-15,-.07
GCAG,1896-09-15,-0.04
GCAG,1896-10-15,0.01
GISTEMP,1896-10-15,.07
GISTEMP,1896-11-15,-.04
GCAG,1896-11-15,-0.16
GISTEMP,1896-12-15,-.04
GCAG,1896-12-15,0.06
GCAG,1897-01-15,-0.13
GISTEMP,1897-01-15,-0.14
GISTEMP,1897-02-15,-0.16
GCAG,1897-02-15,-0.1
GCAG,1897-03-15,-0.11
GISTEMP,1897-03-15,-0.13
GCAG,1897-04-15,0.05
GISTEMP,1897-04-15,-0.02
GISTEMP,1897-05-15,-0.01
GCAG,1897-05-15,0.0
GCAG,1897-06-15,-0.08
GISTEMP,1897-06-15,-.11
GISTEMP,1897-07-15,-.02
GCAG,1897-07-15,-0.02
GCAG,1897-08-15,-0.09
GISTEMP,1897-08-15,-.09
GCAG,1897-09-15,-0.05
GISTEMP,1897-09-15,-.08
GCAG,1897-10-15,-0.18
GISTEMP,1897-10-15,-.12
GCAG,1897-11-15,-0.25
GISTEMP,1897-11-15,-.18
GISTEMP,1897-12-15,-.20
GCAG,1897-12-15,-0.24
GCAG,1898-01-15,0.0
GISTEMP,1898-01-15,-0.02
GCAG,1898-02-15,-0.28
GISTEMP,1898-02-15,-0.3
GCAG,1898-03-15,-0.65
GISTEMP,1898-03-15,-0.51
GCAG,1898-04-15,-0.38
GISTEMP,1898-04-15,-0.3
GCAG,1898-05-15,-0.28
GISTEMP,1898-05-15,-0.3
GCAG,1898-06-15,-0.19
GISTEMP,1898-06-15,-.19
GISTEMP,1898-07-15,-.22
GCAG,1898-07-15,-0.22
GCAG,1898-08-15,-0.24
GISTEMP,1898-08-15,-.26
GISTEMP,1898-09-15,-.21
GCAG,1898-09-15,-0.23
GCAG,1898-10-15,-0.38
GISTEMP,1898-10-15,-.34
GCAG,1898-11-15,-0.31
GISTEMP,1898-11-15,-.38
GCAG,1898-12-15,-0.11
GISTEMP,1898-12-15,-.23
GISTEMP,1899-01-15,-0.16
GCAG,1899-01-15,-0.13
GISTEMP,1899-02-15,-0.38
GCAG,1899-02-15,-0.32
GISTEMP,1899-03-15,-0.36
GCAG,1899-03-15,-0.33
GISTEMP,1899-04-15,-0.2
GCAG,1899-04-15,-0.19
GISTEMP,1899-05-15,-0.23
GCAG,1899-05-15,-0.18
GISTEMP,1899-06-15,-.32
GCAG,1899-06-15,-0.27
GISTEMP,1899-07-15,-.16
GCAG,1899-07-15,-0.17
GISTEMP,1899-08-15,-.08
GCAG,1899-08-15,-0.1
GISTEMP,1899-09-15,-.05
GCAG,1899-09-15,-0.04
GISTEMP,1899-10-15,-.04
GCAG,1899-10-15,-0.09
GCAG,1899-11-15,0.11
GISTEMP,1899-11-15,.13
GISTEMP,1899-12-15,-.26
GCAG,1899-12-15,-0.19
GCAG,1900-01-15,-0.32
GISTEMP,1900-01-15,-0.35
GISTEMP,1900-02-15,-0.05
GCAG,1900-02-15,-0.07
GISTEMP,1900-03-15,0.01
GCAG,1900-03-15,-0.04
GISTEMP,1900-04-15,-0.08
GCAG,1900-04-15,-0.09
GCAG,1900-05-15,-0.06
GISTEMP,1900-05-15,-0.08
GISTEMP,1900-06-15,-.09
GCAG,1900-06-15,-0.04
GISTEMP,1900-07-15,-.12
GCAG,1900-07-15,-0.1
GISTEMP,1900-08-15,-.08
GCAG,1900-08-15,-0.07
GISTEMP,1900-09-15,-.05
GCAG,1900-09-15,-0.06
GISTEMP,1900-10-15,.10
GCAG,1900-10-15,0.07
GISTEMP,1900-11-15,-.06
GCAG,1900-11-15,-0.13
GISTEMP,1900-12-15,-.06
GCAG,1900-12-15,0.02
GISTEMP,1901-01-15,-0.21
GCAG,1901-01-15,-0.13
GCAG,1901-02-15,-0.08
GISTEMP,1901-02-15,-0.11
GCAG,1901-03-15,-0.03
GISTEMP,1901-03-15,0.06
GISTEMP,1901-04-15,-0.03
GCAG,1901-04-15,-0.06
GCAG,1901-05-15,-0.11
GISTEMP,1901-05-15,-0.15
GISTEMP,1901-06-15,-.12
GCAG,1901-06-15,-0.08
GISTEMP,1901-07-15,-.14
GCAG,1901-07-15,-0.13
GISTEMP,1901-08-15,-.20
GCAG,1901-08-15,-0.18
GCAG,1901-09-15,-0.25
GISTEMP,1901-09-15,-.22
GCAG,1901-10-15,-0.33
GISTEMP,1901-10-15,-.29
GCAG,1901-11-15,-0.2
GISTEMP,1901-11-15,-.18
GCAG,1901-12-15,-0.27
GISTEMP,1901-12-15,-.27
GCAG,1902-01-15,-0.11
GISTEMP,1902-01-15,-0.17
GCAG,1902-02-15,-0.05
GISTEMP,1902-02-15,-0.06
GCAG,1902-03-15,-0.22
GISTEMP,1902-03-15,-0.27
GISTEMP,1902-04-15,-0.28
GCAG,1902-04-15,-0.27
GCAG,1902-05-15,-0.29
GISTEMP,1902-05-15,-0.32
GISTEMP,1902-06-15,-.30
GCAG,1902-06-15,-0.3
GCAG,1902-07-15,-0.27
GISTEMP,1902-07-15,-.27
GISTEMP,1902-08-15,-.29
GCAG,1902-08-15,-0.29
GISTEMP,1902-09-15,-.28
GCAG,1902-09-15,-0.28
GCAG,1902-10-15,-0.31
GISTEMP,1902-10-15,-.28
GCAG,1902-11-15,-0.35
GISTEMP,1902-11-15,-.34
GISTEMP,1902-12-15,-.40
GCAG,1902-12-15,-0.38
GCAG,1903-01-15,-0.24
GISTEMP,1903-01-15,-0.23
GCAG,1903-02-15,-0.09
GISTEMP,1903-02-15,-0.05
GCAG,1903-03-15,-0.25
GISTEMP,1903-03-15,-0.22
GISTEMP,1903-04-15,-0.4
GCAG,1903-04-15,-0.36
GISTEMP,1903-05-15,-0.39
GCAG,1903-05-15,-0.41
GCAG,1903-06-15,-0.39
GISTEMP,1903-06-15,-.41
GCAG,1903-07-15,-0.4
GISTEMP,1903-07-15,-.35
GISTEMP,1903-08-15,-.45
GCAG,1903-08-15,-0.45
GCAG,1903-09-15,-0.46
GISTEMP,1903-09-15,-.49
GCAG,1903-10-15,-0.51
GISTEMP,1903-10-15,-.47
GISTEMP,1903-11-15,-.42
GCAG,1903-11-15,-0.48
GCAG,1903-12-15,-0.47
GISTEMP,1903-12-15,-.50
GISTEMP,1904-01-15,-0.62
GCAG,1904-01-15,-0.6
GCAG,1904-02-15,-0.57
GISTEMP,1904-02-15,-0.57
GCAG,1904-03-15,-0.57
GISTEMP,1904-03-15,-0.47
GISTEMP,1904-04-15,-0.5
GCAG,1904-04-15,-0.49
GISTEMP,1904-05-15,-0.51
GCAG,1904-05-15,-0.45
GCAG,1904-06-15,-0.44
GISTEMP,1904-06-15,-.48
GCAG,1904-07-15,-0.49
GISTEMP,1904-07-15,-.50
GCAG,1904-08-15,-0.44
GISTEMP,1904-08-15,-.49
GCAG,1904-09-15,-0.48
GISTEMP,1904-09-15,-.55
GCAG,1904-10-15,-0.42
GISTEMP,1904-10-15,-.38
GCAG,1904-11-15,-0.15
GISTEMP,1904-11-15,-.17
GISTEMP,1904-12-15,-.32
GCAG,1904-12-15,-0.3
GISTEMP,1905-01-15,-0.34
GCAG,1905-01-15,-0.35
GCAG,1905-02-15,-0.62
GISTEMP,1905-02-15,-0.58
GISTEMP,1905-03-15,-0.21
GCAG,1905-03-15,-0.39
GISTEMP,1905-04-15,-0.33
GCAG,1905-04-15,-0.4
GISTEMP,1905-05-15,-0.29
GCAG,1905-05-15,-0.26
GCAG,1905-06-15,-0.24
GISTEMP,1905-06-15,-.28
GISTEMP,1905-07-15,-.26
GCAG,1905-07-15,-0.22
GISTEMP,1905-08-15,-.20
GCAG,1905-08-15,-0.19
GISTEMP,1905-09-15,-.19
GCAG,1905-09-15,-0.21
GISTEMP,1905-10-15,-.24
GCAG,1905-10-15,-0.26
GISTEMP,1905-11-15,-.06
GCAG,1905-11-15,-0.08
GCAG,1905-12-15,-0.09
GISTEMP,1905-12-15,-.12
GCAG,1906-01-15,-0.14
GISTEMP,1906-01-15,-0.27
GCAG,1906-02-15,-0.23
GISTEMP,1906-02-15,-0.29
GCAG,1906-03-15,-0.18
GISTEMP,1906-03-15,-0.18
GCAG,1906-04-15,-0.06
GISTEMP,1906-04-15,-0.04
GCAG,1906-05-15,-0.22
GISTEMP,1906-05-15,-0.25
GISTEMP,1906-06-15,-.19
GCAG,1906-06-15,-0.15
GISTEMP,1906-07-15,-.22
GCAG,1906-07-15,-0.21
GISTEMP,1906-08-15,-.19
GCAG,1906-08-15,-0.24
GCAG,1906-09-15,-0.28
GISTEMP,1906-09-15,-.28
GISTEMP,1906-10-15,-.19
GCAG,1906-10-15,-0.28
GISTEMP,1906-11-15,-.37
GCAG,1906-11-15,-0.35
GISTEMP,1906-12-15,-.14
GCAG,1906-12-15,-0.15
GCAG,1907-01-15,-0.37
GISTEMP,1907-01-15,-0.42
GCAG,1907-02-15,-0.48
GISTEMP,1907-02-15,-0.51
GCAG,1907-03-15,-0.32
GISTEMP,1907-03-15,-0.27
GISTEMP,1907-04-15,-0.36
GCAG,1907-04-15,-0.36
GCAG,1907-05-15,-0.46
GISTEMP,1907-05-15,-0.46
GISTEMP,1907-06-15,-.41
GCAG,1907-06-15,-0.37
GISTEMP,1907-07-15,-.34
GCAG,1907-07-15,-0.33
GCAG,1907-08-15,-0.32
GISTEMP,1907-08-15,-.34
GCAG,1907-09-15,-0.36
GISTEMP,1907-09-15,-.34
GCAG,1907-10-15,-0.3
GISTEMP,1907-10-15,-.22
GISTEMP,1907-11-15,-.46
GCAG,1907-11-15,-0.48
GCAG,1907-12-15,-0.42
